EP_train_inference:0:  20%|| 310/1563 [27:31<1:47:36,  5.15s/it]
avg_loss: 3.610142230987549, avg_ce_loss: 1.7223957777023315, avg_contrast_loss: 1.8877465724945068
avg_loss: 3.7188382148742676, avg_ce_loss: 1.8040364980697632, avg_contrast_loss: 1.9148015975952148
avg_loss: 3.7575554847717285, avg_ce_loss: 1.7910919189453125, avg_contrast_loss: 1.9664634466171265
avg_loss: 3.7121808528900146, avg_ce_loss: 1.8156862258911133, avg_contrast_loss: 1.8964946269989014
avg_loss: 3.6105284690856934, avg_ce_loss: 1.764909029006958, avg_contrast_loss: 1.8456192016601562
avg_loss: 3.6599063873291016, avg_ce_loss: 1.7410273551940918, avg_contrast_loss: 1.9188792705535889
avg_loss: 3.547853469848633, avg_ce_loss: 1.7228816747665405, avg_contrast_loss: 1.824972152709961
avg_loss: 3.7310891151428223, avg_ce_loss: 1.7728424072265625, avg_contrast_loss: 1.9582464694976807
avg_loss: 3.5857605934143066, avg_ce_loss: 1.722468614578247, avg_contrast_loss: 1.8632919788360596
avg_loss: 3.6380012035369873, avg_ce_loss: 1.7450456619262695, avg_contrast_loss: 1.8929555416107178
avg_loss: 3.5931613445281982, avg_ce_loss: 1.7209112644195557, avg_contrast_loss: 1.8722504377365112
