EP_train_inference:0:  15%|| 310/2084 [18:55<1:46:04,  3.59s/it]
avg_loss: 4.409695625305176, avg_ce_loss: 2.407841682434082, avg_contrast_loss: 2.0018539428710938
avg_loss: 4.415790557861328, avg_ce_loss: 2.4139528274536133, avg_contrast_loss: 2.0018372535705566
avg_loss: 4.411403656005859, avg_ce_loss: 2.40993070602417, avg_contrast_loss: 2.0014729499816895
avg_loss: 4.411566257476807, avg_ce_loss: 2.4097819328308105, avg_contrast_loss: 2.001784324645996
avg_loss: 4.411704063415527, avg_ce_loss: 2.410061836242676, avg_contrast_loss: 2.0016422271728516
avg_loss: 4.411258697509766, avg_ce_loss: 2.409757137298584, avg_contrast_loss: 2.00150203704834
avg_loss: 4.405930042266846, avg_ce_loss: 2.404755115509033, avg_contrast_loss: 2.0011754035949707
avg_loss: 4.406056880950928, avg_ce_loss: 2.4045848846435547, avg_contrast_loss: 2.001471757888794
avg_loss: 4.469921112060547, avg_ce_loss: 2.4367241859436035, avg_contrast_loss: 2.033196449279785
avg_loss: 4.705986976623535, avg_ce_loss: 2.6403679847717285, avg_contrast_loss: 2.0656189918518066
avg_loss: 4.648442268371582, avg_ce_loss: 2.639230728149414, avg_contrast_loss: 2.0092110633850098
avg_loss: 4.644685745239258, avg_ce_loss: 2.6388187408447266, avg_contrast_loss: 2.0058670043945312
avg_loss: 4.644299507141113, avg_ce_loss: 2.6391079425811768, avg_contrast_loss: 2.0051918029785156
avg_loss: 4.643039226531982, avg_ce_loss: 2.6388392448425293, avg_contrast_loss: 2.004199743270874
avg_loss: 4.642651081085205, avg_ce_loss: 2.6390228271484375, avg_contrast_loss: 2.0036284923553467
avg_loss: 4.64242696762085, avg_ce_loss: 2.6391258239746094, avg_contrast_loss: 2.0033011436462402
avg_loss: 4.6424713134765625, avg_ce_loss: 2.6391654014587402, avg_contrast_loss: 2.0033059120178223
avg_loss: 4.641712665557861, avg_ce_loss: 2.6390464305877686, avg_contrast_loss: 2.002666473388672
avg_loss: 4.641801357269287, avg_ce_loss: 2.639207601547241, avg_contrast_loss: 2.002593994140625
avg_loss: 4.641191482543945, avg_ce_loss: 2.6389737129211426, avg_contrast_loss: 2.0022175312042236
avg_loss: 4.641289710998535, avg_ce_loss: 2.639031410217285, avg_contrast_loss: 2.002258539199829
avg_loss: 4.640894412994385, avg_ce_loss: 2.638998031616211, avg_contrast_loss: 2.0018961429595947
avg_loss: 4.640772819519043, avg_ce_loss: 2.6390180587768555, avg_contrast_loss: 2.0017552375793457
